 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
2208291,202502,1801-2400,CLT.Airport,NC,,,,2000,,,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,,Passenger,,Descent,STAR STOCR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,,,,2208291,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"While descending on the STOCR4 into CLT; near the FIBBR intersection at approximately 13;xxx feet; I noticed a target appear on the MFD. These targets are typically false targets or aircraft that are on the ground at airports. I looked out the left window and immediately saw a black drone pass the left side of the aircraft approximately 2;000 feet below us. I would estimate the distance at a mile or less. I phoned dispatch after landing.",,,,"Air carrier Captain reported experiencing an airborne conflict with a UAS during descent.",
2208541,202502,0601-1200,TJIG.Airport,FO,,6,,1000,,VMC,,,Daylight,,,Tower TJIG,Personal,Small Aircraft; High Wing; 1 Eng; Retractable Gear,,2,Part 91,VFR,Training,,Final Approach,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft / UAS; Airport / Aerodrome / Heliport,,,,Aircraft X,Flight Deck,Personal,Pilot Not Flying; Instructor,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Instructor,,,,,,2208541,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 200; Vertical 0,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors,Human Factors,"On approach to land at TJIG we were instructed by ATC to make a straight in approach for runway 9 at 1;000MSL while approaching Levittown Water tank approx. 6 miles final form TJIG approx. at XA56am local time while flying over an RC airplane runway; my student and I saw in front of us what appeared to be a RC airplane in a vertical climb at our same altitude and climbing passing in front of us and then making a steep turn toward us. We had to deviate to the left (north) to avoid the object. We resumed normal flight to land.",,,,"Flight Instructor reported an NMAC with a UAS during final approach. Flight Instructor took evasive action to avoid a possible collision.",
2208562,202502,0601-1200,LGB.Airport,CA,160,7,,3500,,VMC,Haze / Smoke; 5,,Daylight,15000,4000,TRACON SCT,FBO,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1,Part 91,None,Training,,Climb,Direct,Class E SCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft / UAS,,,,Aircraft X,,Personal,Pilot Flying; Single Pilot,Flight Crew Student,Flight Crew Last 90 Days 40; Flight Crew Total 110; Flight Crew Type 110,,,,,2208562,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),Horizontal 50; Vertical 100,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"I had departed LGB 26L to ZZZ. GPS waypoints were LGB 26L - VPLQM - VPLHP - ZZZZZ - ZZZZZ1 - ZZZ XX. Climbing through 3500 feet about 7 NM south-southeast of LGB (between VPLQM and VPLHP; over the Long Beach practice area); I experienced a near-miss with a drone.I was climbing at 85-90 KIAS with a 10-know tailwind. Looking outside to scan for traffic; I briefly observed a bright red; multi-rotor drone that flashed past me. It appeared to be about 50 feet off my left wing and 100 feet below my altitude. There was no warning. It appeared to be moving opposite direction; though given my airspeed; it could have been hovering. It took about 90 seconds for me to break in to the busy SoCal Departure frequency. Had the drone intersected my flight path; it could have caused a catastrophic midair collision; with probable impact to control surfaces; propeller; engine; fuel tank; or canopy. Had it impacted the canopy head-on; I would have been killed instantly.I suggest zero-tolerance enforcement against operators of drones that violate airspace restrictions throughout the NAS. There should be a mechanism for instantaneous reporting of drones so that operators can be apprehended immediately. Another effective countermeasure could be jamming of radio frequencies used to control drones. Thank you.",,,,"Student pilot reported an NMAC with a UAS while climbing with no time to react.",
2208999,202502,1801-2400,ZZZ.Airport,US,,2,,900,,VMC,Haze / Smoke; 10,,Night,CLR,,,Government,Eurocopter AS 350/355/EC130 - Astar/Twinstar/Ecureuil,,2,,None,Public Safety / Pursuit (UAS),,Cruise,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,None,,,Hovering (UAS),,Class C ZZZ,,,,,,,,,,,,,,,,Multi-Rotor,,,,People / Populated Areas; Aircraft / UAS; Airport / Aerodrome / Heliport; Crowds,,,,Aircraft X,Flight Deck,Government,Pilot Flying,Flight Crew Commercial; Flight Crew Rotorcraft,,,Time Pressure,,,2208999,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 100; Vertical 100,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action; Flight Crew Requested ATC Assistance / Clarification,Procedure; Airspace Structure; Human Factors,Ambiguous,"On Day 0 at around XA25 hours I was flying my law enforcement helicopter; Airbus AS350; Aircraft X; for the local law enforcement over the city. While orbiting over a law enforcement call at 900 feet MLS; I saw a UAS/Drone; within about 100 feet of my aircraft at the same altitude then it climbed between 1000 feet and 1100 feet. This occurred within ZZZ surface Class C airspace approximately; 2 miles northwest of the airfield. The nearest cross streets on the ground were; Street X and Street Y. I had to do evasive maneuvers to avoid a collision with the drone. The drone appeared to be a possible quadcopter and had flashing red and green lights. I avoided the drone and flew away from it to the north while we continued to work our law enforcement mission. We were unable to locate the source/operator of the drone because of the priority for our law enforcement call that were were assigned. Our law enforcement call was watching an event move in the city and this drone may have been related to that incident.",,,,"A government helicopter pilot reported a near miss with a UAS in controlled airspace. The helicopter pilot took evasive action to avoid a possible collision.",
2209459,202502,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,Tower ZZZ,Air Carrier,Commercial Fixed Wing,,2,Part 121,,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,Aircraft / UAS; Airport / Aerodrome / Heliport,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,2209459,,,,,,,,,,,,Airspace Violation All Types; Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),,,Person Flight Crew,Taxi,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,Human Factors,Human Factors,"Holding short of runway XXC for Takeoff when I spotted what appeared to a turkey vulture flying in a strange manner compared to their normal flying styles. It was coming in our direction at about 30- 50 feet high. When it got closer I noticed it was not a vulture but what looked like a remote controlled model aircraft or glider. I asked my First Officer if he saw the same thing and did confirm what I was seeing and reported it to tower controllers.It had red elliptical wings as thin as a kite's wings with a pencil thin fuselage and a white triangular rudder on top and bottom of the tail. It was the size of a turkey vulture wing span and length. I could not see any type of a motor box that a propeller(s) would come off of and/or a housing for control surfaces that would attach to a regular model aircraft.It looked more like a glider. There was enough wind and thermals for a glider to sustain flight using thermals like the vultures were doing that day to stay aloft. It circled around the beginning of XXC and flew down the runway staying just to the left of the runway; and circled around the far end maybe at taxi 1 or 2 then flew back on the same side. Tower finally picked it up when it was circling around taxi ways and followed it back to the beginning of [runway] XXC. We held in position of XXC till it was safely out of our takeoff and climb out path.Make sure airspace round airports are drone/UAS are free zones unless authorized to fly close to landing and departing aircraft.",,,,"Air carrier Captain reported a ground conflict while holding short of the runway due to a UAS flying around the runway. The pilot stayed in position until the UAS was out of the takeoff path.",
2209465,202502,1201-1800,DFW.Airport,TX,,,,5800,,,,,,,,,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,,Passenger,,Descent,,Class B DFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B DFW,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,,,,2209465,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"While on descent at approx 5800' MSL; we noticed an object pass by the left wing. I initially thought it was a drone but could not be certain as it passed by quickly. It seemed to be grey in color. Object was of irregular shape so very well could have been a balloon. I did not have to maneuver aircraft as it did not pose a threat of impact. We originally thought it was a near miss. However; it was not a near miss. Other aircraft were notified and we continued with no issues. Cause: Potential ballon or drone from personnel on ground. Mitigate by reporting objects to ATC to alert other air traffic.",,,,"Air carrier pilot reported an airborne conflict with a UAS during descent. No evasive action was taken.",
2209653,202501,0601-1200,JLN.Airport,MO,,5.3,398,,,Marginal,Cloudy; 5,,Daylight,5000,,,Commercial Operator (UAS),Small UAS (At or above 0.55 lbs and less than 55 lbs),,1,Part 107,None,Photo Shoot / Video,,Cruise,,,,,,,,,,,,,,N,,,Small,Multi-Rotor,VLOS,N,Manual Control,Private Property; Open Space / Field,,Purchased,Number of UAS 1,,,,,,,Helicopter,,,,,,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 13.50; Flight Crew Total (UAS) 13.50; Flight Crew Type (UAS) 2.00,,Situational Awareness; Time Pressure,,,2209653,,,,,,,,,,,,Conflict Airborne Conflict,,,Person UAS Crew,In-flight,Flight Crew Took Evasive Action,Human Factors; Environment - Non Weather Related,Ambiguous,"I was at Location A to take some construction progression photos.After arriving; I spoke with some workers on-site to get permission to be on the property.Eventually; I received approval from Person A after explaining my purpose for being there.Earlier that morning; I checked the METAR; TAF; and NOTAMs for the area. The weather had warmed up to 37°F after a stretch of freezing temperatures.The area is approximately several hundred thousand square feet accounting for a perimeter of dirt and the surrounding terrain. Launching from near the top; I set the maximum altitude to 378 feet on the controller and limited the maximum speed to 11 mph.The first flight; which lasted approximately 35 minutes; went smoothly. After a short rest; I changed the batteries and prepared for a second flight.This time; I aimed to capture images of a bulldozer moving dirt in the center of the area. I initiated a slow; straight flight from one side of the area toward the other side.I was maintaining VLOS and heard sounds of a helicopter. I scanned around the area and saw the helicopter approaching from my 9 o'clock position at the far end of the southside of the area.  I began descending the UAS for a few seconds.Then the helicopter flew over the area and near the UAS. I'm not certain if the UAS was directly in the helicopter's path or off to the side.  The UAS was under the helicopter from my position as it passed.","The reporter was still unsure of the miss distance but believed it could have been several hundred feet. The reporter indicated it was plenty of time to hear and avoid the incoming helicopter.",,,"Part 107 UAS pilot reported an airborne conflict with a helicopter. The UAS avoided the helicopter.",
2210806,202502,0601-1200,ZZZ.Airport,US,,17,105,,,VMC,Turbulence; 5,,,CLR,,,Commercial Operator (UAS),DJI Mini 4 Pro,,1,Part 107,None,Photo Shoot / Video,,,,Class C ZZZ,,,,,,,,,,,Authorized Third Party,N,,,Small,Multi-Rotor,VLOS,,Transitioning Between Modes,Airport / Aerodrome / Heliport,,Purchased,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Private; Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 0.45; Flight Crew Total 197.5; Flight Crew Total (UAS) 10.00; Flight Crew Type (UAS) 0.45,,Situational Awareness,,,2210806,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person UAS Crew,In-flight,Flight Crew Exited Penetrated Airspace,Human Factors; Software and Automation,Ambiguous,"As the Remote Pilot in Command (RPIC); I was operating a DJI Mini 4 Pro with a Plus Battery (total weight 291g) for a commercial photography flight.The flight took place at Location A in Class C Airspace with a designated maximum altitude of 100 feet.Day 0 approx. XA:40am The incident occurred during an automated MasterShots flight.My drone was flying an automated MasterShots circuit. Upon realizing that the automation would exceed the 100-foot altitude restriction; I stopped the flight immediately. However; due to inertia; the drone continued to climb slightly; reaching a maximum altitude of 32 meters (104.9 feet)--4.9 feet into controlled airspace. I immediately lowered the altitude back below 100 feet.The altitude violation occurred due to the inertia of the drone after stopping the automated flight. I failed to anticipate the impact of momentum in an automated flight mode.To prevent this in the future; I will never fly automated MasterShots in areas with height restrictions. Additionally; I will manually control flights in restricted airspace to ensure strict adherence to altitude limits.",,,,"Part 107 UAS pilot reported a brief entry into controlled airspace without authorization. The pilot immediately exited the controlled airspace.",
2211163,202502,1201-1800,ORD.Airport,IL,,6,15,,,VMC,5,,Daylight,CLR,,,Commercial Operator (UAS),Small UAS (At or above 0.55 lbs and less than 55 lbs),,1,Part 107,None,Photo Shoot / Video,,Takeoff / Launch,,Class B ORD,,,,,,,,,,,,N,,,Small,Multi-Rotor,VLOS,N,Manual Control,Airport / Aerodrome / Heliport,,Purchased,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Remote PIC (UAS); Person Manipulating Controls (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 1; Flight Crew Total (UAS) 10; Flight Crew Type (UAS) 1,,Situational Awareness; Training / Qualification,,,2211163,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),,,Person UAS Crew,In-flight,Flight Crew Exited Penetrated Airspace,Chart Or Publication; Human Factors,Ambiguous,"I was trying to take photos of a crypt at the cemetery from above.Once I took off; I saw a plane fly over; and I realized that I could be in a class B airspace. I landed the drone and took photos from the ground instead with a different camera. I was in the air for less than 10 minutes; and I only hovered above one spot; no more than 15 feet above the ground. When I got home; I checked and found that I was in a Class B airspace; less than .25 miles from the unrestricted airspace. I thought that I was far enough away from the airport that I wouldn't be in restricted airspace anymore; but I was mistaken. I only flew the drone 15 feet above the ground and landed it once I saw a plane fly overhead. I realize I could have gotten a LAANC approval; as well; but I didn't. Next time; I will be sure to check the airspace at my location instead of assuming I am safe. I will be especially cautious in airspace that is relatively close to airports and will ensure that I check if I need LAANC authorization before I takeoff anywhere.",,,,"Part 107 UAS pilot reported flying in controlled airspace without authorization.",
2213378,202502,1201-1800,,,,,60,,,VMC,10,,Daylight,CLR,,,Recreational / Hobbyist (UAS),DJI Phantom 3,,2,Recreational Operations / Section 44809 (UAS),None,Recreational / Hobbyist (UAS),,Takeoff / Launch,,,,,,,,,,,,,,N,,,Small,Multi-Rotor,VLOS,Y,Manual Control,Private Property,,Purchased,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Recreational / Hobbyist (UAS),Person Manipulating Controls (UAS),,,,Training / Qualification,,,2213378,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,,,Person UAS Crew,Other Post-flight,General None Reported / Taken,Chart Or Publication; Human Factors,Ambiguous,"I got this drone years ago; I wanted to make sure it still worked so I hovered over my backyard to maybe 60 feet; for less than a minute. I landed the drone; put it away; went back inside; and realized I should have looked up if regulations had changed in the past few years. I soon realized my drone was incapable of doing the Remote ID thing and that I am supposed to take the Trust Completion Certificate (TRUST) test before flying.I did check airspace restrictions before I flew and the area I flew was free and clear of restrictions.I will be taking the TRUST test and installing a Remote ID device before flying again.",,,,"Recreational / Hobbyist UAS pilot reported flying their UAS without being aware of new UAS regulations that were enacted since they last flew the UAS.",
2213419,202502,,SJC.Airport,CA,,,,1000,,VMC,,,Dusk,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,,Passenger,Localizer/Glideslope/ILS 30L,Final Approach,,Class C SJC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class C SJC,,,,,,,,,,,,,,,,,,,,Aircraft / UAS; Airport / Aerodrome / Heliport,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 113.25,,,,,2213419,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"Autopilot and autothrust on. I was PF on LOC and GS for 30L going into SJC. If I recall correctly; just prior to the FO calling '1000' I noticed an anomalous red light appear out of the PAPI and rapidly move towards the aircraft. Within 2 seconds of observing the new light it passed over the left wing at roughly eye level (roughly cabin window height). Light conditions were challenging for visual observation. The sun had already gone below the horizon to our left but enough red/orange light was still present in a narrow band above the terrain to the left that I could observe some glossy shine off the edges of the object in addition to the red light on it. The terrain and city below and in front of us was visually presenting as night conditions (black with lights). Other than the narrow band of light over the terrain on our left; the sky was also presenting as night. With that small amount of light it wasn't possible to quickly ascertain details about the object; other than the relative size; shape; and movement in relation to our jet. I ascertained almost immediately upon seeing it that its relative movement in relation to our glide path was slightly to the left; so it was not coming directly at our fuselage and would pass to our left. In the next second it did indeed pass to my left at eye level and I visually tracked it as it passed over the top of our left wing. It was roughly 2-3 feet in diameter; symmetrical width and length (squarish or roundish in overall shape) and much shorter in height than it was in length or width. While the details of shape weren't supremely apparent ; it appeared to have structural elements consistent with drone construction symmetry.We landed without incident.  I also called the dispatcher and reported the event with some detail to them as well.",,,,"Air carrier Captain reported an NMAC on final approach with a UAS. No evasive action was taken and the flight continued without further incident.",
2213848,202502,1201-1800,SFO.Airport,CA,,,,2000,,VMC,,,,,,,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,,Passenger,,Final Approach,Visual Approach,Class B SFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class B SFO,,,,,,,,,,,,,,,,,,,,Aircraft / UAS; Airport / Aerodrome / Heliport,,,,Aircraft X,,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 165.82; Flight Crew Type 1743.73,,,,,2213848,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),,,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,"On the visual approach to RWY28L to SFO at XA59 local time; while scanning for traffic; I saw a red quad-copter drone off the right wing pass from 0130 to behind the aircraft in less than 2 seconds. It was mere yards from the right wing tip as we flew past it. I immediately called the traffic; but it had passed behind the wing before the FO (PF) could even turn to look. (It was too late to take evasive action.) We continued to an uneventful landing. After landing I debriefed Dispatch and authorities.",,,,"Air carrier Captain reported an NMAC on final approach with a UAS. No evasive action was taken.",
2214186,202502,1201-1800,ZZZ.Airport,US,,12,2000,,,VMC,10,,Daylight,CLR,,,Commercial Operator (UAS),Argosdyne Aquila-2,,2,Part 107,None,Test Flight / Demonstration,,Climb,,,,,,,,,,,,,Authorized Third Party,Y,Other LAANC,,Small,Multi-Rotor,VLOS,Y,Waypoint Flying,Open Space / Field; Private Property; Moving Vehicles,,,Number of UAS 1,GPS Module (UAS),Argosdyne,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS); Visual Observer (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 15; Flight Crew Total 100; Flight Crew Total (UAS) 60; Flight Crew Type (UAS) 20,,Troubleshooting,,,2214186,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Inflight Event / Encounter Loss Of Aircraft Control,,,Person UAS Crew,In-flight,Flight Crew Exited Penetrated Airspace; Flight Crew Overcame Equipment Problem,Aircraft; Software and Automation,Ambiguous,"Performing demo of two drones flying at around 200 ft; with proper authorization from ZZZ with LAANC. Performed a test 25 minutes before the incident and everything worked as normal with the automated flight plan mission.When performing the real demo; I walked to other side of parking lot in order to maintain VLOS during entire flight. I arm the drone and command to takeoff with the 900 MHz RC link. The drone then goes full throttle for around 30 seconds as I attempt to take control of the aircraft unsuccessfully. I was able to gain control once I cross the parking lot and could see what the telemetry was saying. The GPS vertical position glitched out and the automated mission; along with the Loiter mode(which is GPS based) thought the drone was falling; so it commanded the drone to throttle up to full throttle for around 30 seconds.  After 30 seconds of trying to control it in loiter mode; I flipped it into Altitude Hold mode; based on barometer; and then I could see the telemetry vertical speed stabilize. Now that I had control with Alt Hold mode; telemetry feed; and even a live video feed; I could navigate the drone back to being over our parking lot and eventually down to land. looking back at the video footage; the barometer said that it was able 1800 meters once stabilized; and then 1000 meters once landed. Given this; I'd say the drone reached 800 meters AGL.",,,,"Part 107 UAS pilot reported a malfunction with the UAS that caused a rapid climb above 400 feet AGL. The pilot was able to regain control of the UAS and land safely.",
2214505,202502,1201-1800,AUO.Airport,AL,,4.3,50,,,VMC,10,,,CLR,,,Commercial Operator (UAS),Small UAS (At or above 0.55 lbs and less than 55 lbs),,1,Part 107,None,,,Cruise,,Class D AUO,,,,,,,,,,,,N,,,Small,Multi-Rotor,,,,Airport / Aerodrome / Heliport,,Purchased,Number of UAS 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outdoor / Field Station (UAS),,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Private; Flight Crew Remote Pilot (UAS); Flight Crew Instrument,,,Situational Awareness,,,2214505,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,,,Person UAS Crew,Other Post-flight,General None Reported / Taken,Chart Or Publication; Human Factors; Software and Automation; Airspace Structure,Ambiguous,"I was unaware that the AUO airport class D expanded into my operation; as before it was only a class E. I thought I was clear to fly in the area but upon my post flight I realized I had accidentally entered the new class D. Typically my drone alerts me when I near controlled airspace; but on this occasion the drone software did not alert me of the impending incursion to the recently added class D airspace.",,,,"Part 107 UAS pilot reported flying in controlled airspace without authorization when the software did not alert the pilot that the airspace was nearby.",
