acn,time__date,time__local_time_of_day,place__locale_reference,place__state_reference,place__relative_position_angle_radial,place__relative_position_distance_nautical_miles,place__altitude_agl_single_value,place__altitude_msl_single_value,place__latitude_longitude_uas,environment__flight_conditions,environment__weather_elements_visibility,environment__work_environment_factor,environment__light,environment__ceiling,environment__rvr_single_value,ac1__atc_advisory,ac1__aircraft_operator,ac1__make_model_name,ac1__aircraft_zone,ac1__crew_size,ac1__operating_under_far_part,ac1__flight_plan,ac1__mission,ac1__nav_in_use,ac1__flight_phase,ac1__route_in_use,ac1__airspace,ac1__maintenance_status_maintenance_deferred,ac1__maintenance_status_records_complete,ac1__maintenance_status_released_for_service,ac1__maintenance_status_required_correct_doc_on_board,ac1__maintenance_status_maintenance_type,ac1__maintenance_status_maintenance_items_involved,ac1__cabin_lighting,ac1__number_of_seats_number,ac1__passengers_on_board_number,ac1__crew_size_flight_attendant_number_of_crew,ac1__airspace_authorization_provider_uas,ac1__operating_under_waivers_exemptions_authorizations_uas,ac1__waivers_exemptions_authorizations_uas,ac1__airworthiness_certification_uas,ac1__weight_category_uas,ac1__configuration_uas,ac1__flight_operated_as_uas,ac1__flight_operated_with_visual_observer_uas,ac1__control_mode_uas,ac1__flying_in_near_over_uas,ac1__passenger_capable_uas,ac1__type_uas,ac1__number_of_uas_being_controlled_uas,component__aircraft_component,component__manufacturer,component__aircraft_reference,component__problem,ac2__atc_advisory,ac2__aircraft_operator,ac2__make_model_name,ac2__aircraft_zone,ac2__crew_size,ac2__operating_under_far_part,ac2__flight_plan,ac2__mission,ac2__nav_in_use,ac2__flight_phase,ac2__route_in_use,ac2__airspace,ac2__maintenance_status_maintenance_deferred,ac2__maintenance_status_records_complete,ac2__maintenance_status_released_for_service,ac2__maintenance_status_required_correct_doc_on_board,ac2__maintenance_status_maintenance_type,ac2__maintenance_status_maintenance_items_involved,ac2__cabin_lighting,ac2__number_of_seats_number,ac2__passengers_on_board_number,ac2__crew_size_flight_attendant_number_of_crew,ac2__airspace_authorization_provider_uas,ac2__operating_under_waivers_exemptions_authorizations_uas,ac2__waivers_exemptions_authorizations_uas,ac2__airworthiness_certification_uas,ac2__weight_category_uas,ac2__configuration_uas,ac2__flight_operated_as_uas,ac2__flight_operated_with_visual_observer_uas,ac2__control_mode_uas,ac2__flying_in_near_over_uas,ac2__passenger_capable_uas,ac2__type_uas,ac2__number_of_uas_being_controlled_uas,person1__location_of_person,person1__location_in_aircraft,person1__reporter_organization,person1__function,person1__qualification,person1__experience,person1__cabin_activity,person1__human_factors,person1__communication_breakdown,person1__uas_communication_breakdown,person1__asrs_report_number_accession_number,person2__location_of_person,person2__location_in_aircraft,person2__reporter_organization,person2__function,person2__qualification,person2__experience,person2__cabin_activity,person2__human_factors,person2__communication_breakdown,person2__uas_communication_breakdown,person2__asrs_report_number_accession_number,events__anomaly,events__miss_distance,events__were_passengers_involved_in_event,events__detector,events__when_detected,events__result,assessments__contributing_factors_situations,assessments__primary_problem,report1__narrative,report1__callback,report2__narrative,report2__callback,report1__synopsis
2208562,2025-02-01,0601-1200,LGB.Airport,CA,160,7,NA,3500,NA,VMC,Haze / Smoke; 5,NA,Daylight,15000,4000,TRACON SCT,FBO,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,NA,1,Part 91,None,Training,NA,Climb,Direct,Class E SCT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAV: Unpiloted Aerial Vehicle,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aircraft / UAS,NA,NA,NA,Aircraft X,NA,Personal,Pilot Flying; Single Pilot,Flight Crew Student,Flight Crew Last 90 Days 40; Flight Crew Total 110; Flight Crew Type 110,NA,NA,NA,NA,2208562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),Horizontal 50; Vertical 100,NA,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,I had departed LGB 26L to ZZZ. GPS waypoints were LGB 26L - VPLQM - VPLHP - ZZZZZ - ZZZZZ1 - ZZZ XX. Climbing through 3500 feet about 7 NM south-southeast of LGB (between VPLQM and VPLHP; over the Long Beach practice area); I experienced a near-miss with a drone.I was climbing at 85-90 KIAS with a 10-know tailwind. Looking outside to scan for traffic; I briefly observed a bright red; multi-rotor drone that flashed past me. It appeared to be about 50 feet off my left wing and 100 feet below my altitude. There was no warning. It appeared to be moving opposite direction; though given my airspeed; it could have been hovering. It took about 90 seconds for me to break in to the busy SoCal Departure frequency. Had the drone intersected my flight path; it could have caused a catastrophic midair collision; with probable impact to control surfaces; propeller; engine; fuel tank; or canopy. Had it impacted the canopy head-on; I would have been killed instantly.I suggest zero-tolerance enforcement against operators of drones that violate airspace restrictions throughout the NAS. There should be a mechanism for instantaneous reporting of drones so that operators can be apprehended immediately. Another effective countermeasure could be jamming of radio frequencies used to control drones. Thank you.,NA,NA,NA,Student pilot reported an NMAC with a UAS while climbing with no time to react.
2208999,2025-02-01,1801-2400,ZZZ.Airport,US,NA,2,NA,900,NA,VMC,Haze / Smoke; 10,NA,Night,CLR,NA,NA,Government,Eurocopter AS 350/355/EC130 - Astar/Twinstar/Ecureuil,NA,2,NA,None,Public Safety / Pursuit (UAS),NA,Cruise,NA,Class C ZZZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAV: Unpiloted Aerial Vehicle,NA,1,NA,None,NA,NA,Hovering (UAS),NA,Class C ZZZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Multi-Rotor,NA,NA,NA,People / Populated Areas; Aircraft / UAS; Airport / Aerodrome / Heliport; Crowds,NA,NA,NA,Aircraft X,Flight Deck,Government,Pilot Flying,Flight Crew Commercial; Flight Crew Rotorcraft,NA,NA,Time Pressure,NA,NA,2208999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 100; Vertical 100,NA,Person Flight Crew,In-flight,Flight Crew Took Evasive Action; Flight Crew Requested ATC Assistance / Clarification,Procedure; Airspace Structure; Human Factors,Ambiguous,On Day 0 at around XA25 hours I was flying my law enforcement helicopter; Airbus AS350; Aircraft X; for the local law enforcement over the city. While orbiting over a law enforcement call at 900 feet MLS; I saw a UAS/Drone; within about 100 feet of my aircraft at the same altitude then it climbed between 1000 feet and 1100 feet. This occurred within ZZZ surface Class C airspace approximately; 2 miles northwest of the airfield. The nearest cross streets on the ground were; Street X and Street Y. I had to do evasive maneuvers to avoid a collision with the drone. The drone appeared to be a possible quadcopter and had flashing red and green lights. I avoided the drone and flew away from it to the north while we continued to work our law enforcement mission. We were unable to locate the source/operator of the drone because of the priority for our law enforcement call that were were assigned. Our law enforcement call was watching an event move in the city and this drone may have been related to that incident.,NA,NA,NA,A government helicopter pilot reported a near miss with a UAS in controlled airspace. The helicopter pilot took evasive action to avoid a possible collision.
2209459,2025-02-01,0601-1200,ZZZ.Airport,US,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Tower ZZZ,Air Carrier,Commercial Fixed Wing,NA,2,Part 121,NA,Passenger,NA,Taxi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAV: Unpiloted Aerial Vehicle,NA,1,NA,NA,NA,NA,NA,NA,Class B ZZZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aircraft / UAS; Airport / Aerodrome / Heliport,NA,NA,NA,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,NA,NA,NA,NA,NA,2209459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),NA,NA,Person Flight Crew,Taxi,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed,Human Factors,Human Factors,Holding short of runway XXC for Takeoff when I spotted what appeared to a turkey vulture flying in a strange manner compared to their normal flying styles. It was coming in our direction at about 30- 50 feet high. When it got closer I noticed it was not a vulture but what looked like a remote controlled model aircraft or glider. I asked my First Officer if he saw the same thing and did confirm what I was seeing and reported it to tower controllers.It had red elliptical wings as thin as a kite's wings with a pencil thin fuselage and a white triangular rudder on top and bottom of the tail. It was the size of a turkey vulture wing span and length. I could not see any type of a motor box that a propeller(s) would come off of and/or a housing for control surfaces that would attach to a regular model aircraft.It looked more like a glider. There was enough wind and thermals for a glider to sustain flight using thermals like the vultures were doing that day to stay aloft. It circled around the beginning of XXC and flew down the runway staying just to the left of the runway; and circled around the far end maybe at taxi 1 or 2 then flew back on the same side. Tower finally picked it up when it was circling around taxi ways and followed it back to the beginning of [runway] XXC. We held in position of XXC till it was safely out of our takeoff and climb out path.Make sure airspace round airports are drone/UAS are free zones unless authorized to fly close to landing and departing aircraft.,NA,NA,NA,Air carrier Captain reported a ground conflict while holding short of the runway due to a UAS flying around the runway. The pilot stayed in position until the UAS was out of the takeoff path.
2209465,2025-02-01,1201-1800,DFW.Airport,TX,NA,NA,NA,5800,NA,NA,NA,NA,NA,NA,NA,NA,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,NA,2,Part 121,NA,Passenger,NA,Descent,NA,Class B DFW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAV: Unpiloted Aerial Vehicle,NA,1,NA,NA,NA,NA,NA,NA,Class B DFW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airport / Aerodrome / Heliport; Aircraft / UAS,NA,NA,NA,Aircraft X,Flight Deck,Air Carrier,Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),NA,NA,NA,NA,NA,2209465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,NA,NA,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,While on descent at approx 5800' MSL; we noticed an object pass by the left wing. I initially thought it was a drone but could not be certain as it passed by quickly. It seemed to be grey in color. Object was of irregular shape so very well could have been a balloon. I did not have to maneuver aircraft as it did not pose a threat of impact. We originally thought it was a near miss. However; it was not a near miss. Other aircraft were notified and we continued with no issues. Cause: Potential ballon or drone from personnel on ground. Mitigate by reporting objects to ATC to alert other air traffic.,NA,NA,NA,Air carrier pilot reported an airborne conflict with a UAS during descent. No evasive action was taken.
2209653,2025-01-01,0601-1200,JLN.Airport,MO,NA,5.3,398,NA,NA,Marginal,Cloudy; 5,NA,Daylight,5000,NA,NA,Commercial Operator (UAS),Small UAS (At or above 0.55 lbs and less than 55 lbs),NA,1,Part 107,None,Photo Shoot / Video,NA,Cruise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Small,Multi-Rotor,VLOS,FALSE,Manual Control,Private Property; Open Space / Field,NA,Purchased,Number of UAS 1,NA,NA,NA,NA,NA,NA,Helicopter,NA,NA,NA,NA,NA,NA,Cruise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 13.50; Flight Crew Total (UAS) 13.50; Flight Crew Type (UAS) 2.00,NA,Situational Awareness; Time Pressure,NA,NA,2209653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Conflict Airborne Conflict,NA,NA,Person UAS Crew,In-flight,Flight Crew Took Evasive Action,Human Factors; Environment - Non Weather Related,Ambiguous,I was at Location A to take some construction progression photos.After arriving; I spoke with some workers on-site to get permission to be on the property.Eventually; I received approval from Person A after explaining my purpose for being there.Earlier that morning; I checked the METAR; TAF; and NOTAMs for the area. The weather had warmed up to 37°F after a stretch of freezing temperatures.The area is approximately several hundred thousand square feet accounting for a perimeter of dirt and the surrounding terrain. Launching from near the top; I set the maximum altitude to 378 feet on the controller and limited the maximum speed to 11 mph.The first flight; which lasted approximately 35 minutes; went smoothly. After a short rest; I changed the batteries and prepared for a second flight.This time; I aimed to capture images of a bulldozer moving dirt in the center of the area. I initiated a slow; straight flight from one side of the area toward the other side.I was maintaining VLOS and heard sounds of a helicopter. I scanned around the area and saw the helicopter approaching from my 9 o'clock position at the far end of the southside of the area.  I began descending the UAS for a few seconds.Then the helicopter flew over the area and near the UAS. I'm not certain if the UAS was directly in the helicopter's path or off to the side.  The UAS was under the helicopter from my position as it passed.,The reporter was still unsure of the miss distance but believed it could have been several hundred feet. The reporter indicated it was plenty of time to hear and avoid the incoming helicopter.,NA,NA,Part 107 UAS pilot reported an airborne conflict with a helicopter. The UAS avoided the helicopter.
2210806,2025-02-01,0601-1200,ZZZ.Airport,US,NA,17,105,NA,NA,VMC,Turbulence; 5,NA,NA,CLR,NA,NA,Commercial Operator (UAS),DJI Mini 4 Pro,NA,1,Part 107,None,Photo Shoot / Video,NA,NA,NA,Class C ZZZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authorized Third Party,FALSE,NA,NA,Small,Multi-Rotor,VLOS,NA,Transitioning Between Modes,Airport / Aerodrome / Heliport,NA,Purchased,Number of UAS 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS),Flight Crew Private; Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 0.45; Flight Crew Total 197.5; Flight Crew Total (UAS) 10.00; Flight Crew Type (UAS) 0.45,NA,Situational Awareness,NA,NA,2210806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,NA,NA,Person UAS Crew,In-flight,Flight Crew Exited Penetrated Airspace,Human Factors; Software and Automation,Ambiguous,As the Remote Pilot in Command (RPIC); I was operating a DJI Mini 4 Pro with a Plus Battery (total weight 291g) for a commercial photography flight.The flight took place at Location A in Class C Airspace with a designated maximum altitude of 100 feet.Day 0 approx. XA:40am The incident occurred during an automated MasterShots flight.My drone was flying an automated MasterShots circuit. Upon realizing that the automation would exceed the 100-foot altitude restriction; I stopped the flight immediately. However; due to inertia; the drone continued to climb slightly; reaching a maximum altitude of 32 meters (104.9 feet)--4.9 feet into controlled airspace. I immediately lowered the altitude back below 100 feet.The altitude violation occurred due to the inertia of the drone after stopping the automated flight. I failed to anticipate the impact of momentum in an automated flight mode.To prevent this in the future; I will never fly automated MasterShots in areas with height restrictions. Additionally; I will manually control flights in restricted airspace to ensure strict adherence to altitude limits.,NA,NA,NA,Part 107 UAS pilot reported a brief entry into controlled airspace without authorization. The pilot immediately exited the controlled airspace.
2211163,2025-02-01,1201-1800,ORD.Airport,IL,NA,6,15,NA,NA,VMC,5,NA,Daylight,CLR,NA,NA,Commercial Operator (UAS),Small UAS (At or above 0.55 lbs and less than 55 lbs),NA,1,Part 107,None,Photo Shoot / Video,NA,Takeoff / Launch,NA,Class B ORD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Small,Multi-Rotor,VLOS,FALSE,Manual Control,Airport / Aerodrome / Heliport,NA,Purchased,Number of UAS 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Commercial Operator (UAS),Remote PIC (UAS); Person Manipulating Controls (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 1; Flight Crew Total (UAS) 10; Flight Crew Type (UAS) 1,NA,Situational Awareness; Training / Qualification,NA,NA,2211163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),NA,NA,Person UAS Crew,In-flight,Flight Crew Exited Penetrated Airspace,Chart Or Publication; Human Factors,Ambiguous,I was trying to take photos of a crypt at the cemetery from above.Once I took off; I saw a plane fly over; and I realized that I could be in a class B airspace. I landed the drone and took photos from the ground instead with a different camera. I was in the air for less than 10 minutes; and I only hovered above one spot; no more than 15 feet above the ground. When I got home; I checked and found that I was in a Class B airspace; less than .25 miles from the unrestricted airspace. I thought that I was far enough away from the airport that I wouldn't be in restricted airspace anymore; but I was mistaken. I only flew the drone 15 feet above the ground and landed it once I saw a plane fly overhead. I realize I could have gotten a LAANC approval; as well; but I didn't. Next time; I will be sure to check the airspace at my location instead of assuming I am safe. I will be especially cautious in airspace that is relatively close to airports and will ensure that I check if I need LAANC authorization before I takeoff anywhere.,NA,NA,NA,Part 107 UAS pilot reported flying in controlled airspace without authorization.
2213378,2025-02-01,1201-1800,NA,NA,NA,NA,60,NA,NA,VMC,10,NA,Daylight,CLR,NA,NA,Recreational / Hobbyist (UAS),DJI Phantom 3,NA,2,Recreational Operations / Section 44809 (UAS),None,Recreational / Hobbyist (UAS),NA,Takeoff / Launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Small,Multi-Rotor,VLOS,TRUE,Manual Control,Private Property,NA,Purchased,Number of UAS 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Recreational / Hobbyist (UAS),Person Manipulating Controls (UAS),NA,NA,NA,Training / Qualification,NA,NA,2213378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,NA,NA,Person UAS Crew,Other Post-flight,General None Reported / Taken,Chart Or Publication; Human Factors,Ambiguous,I got this drone years ago; I wanted to make sure it still worked so I hovered over my backyard to maybe 60 feet; for less than a minute. I landed the drone; put it away; went back inside; and realized I should have looked up if regulations had changed in the past few years. I soon realized my drone was incapable of doing the Remote ID thing and that I am supposed to take the Trust Completion Certificate (TRUST) test before flying.I did check airspace restrictions before I flew and the area I flew was free and clear of restrictions.I will be taking the TRUST test and installing a Remote ID device before flying again.,NA,NA,NA,Recreational / Hobbyist UAS pilot reported flying their UAS without being aware of new UAS regulations that were enacted since they last flew the UAS.
2213419,2025-02-01,NA,SJC.Airport,CA,NA,NA,NA,1000,NA,VMC,NA,NA,Dusk,NA,NA,NA,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,NA,2,Part 121,NA,Passenger,Localizer/Glideslope/ILS 30L,Final Approach,NA,Class C SJC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAV: Unpiloted Aerial Vehicle,NA,1,NA,NA,NA,NA,NA,NA,Class C SJC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aircraft / UAS; Airport / Aerodrome / Heliport,NA,NA,NA,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 113.25,NA,NA,NA,NA,2213419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR,NA,NA,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,Autopilot and autothrust on. I was PF on LOC and GS for 30L going into SJC. If I recall correctly; just prior to the FO calling '1000' I noticed an anomalous red light appear out of the PAPI and rapidly move towards the aircraft. Within 2 seconds of observing the new light it passed over the left wing at roughly eye level (roughly cabin window height). Light conditions were challenging for visual observation. The sun had already gone below the horizon to our left but enough red/orange light was still present in a narrow band above the terrain to the left that I could observe some glossy shine off the edges of the object in addition to the red light on it. The terrain and city below and in front of us was visually presenting as night conditions (black with lights). Other than the narrow band of light over the terrain on our left; the sky was also presenting as night. With that small amount of light it wasn't possible to quickly ascertain details about the object; other than the relative size; shape; and movement in relation to our jet. I ascertained almost immediately upon seeing it that its relative movement in relation to our glide path was slightly to the left; so it was not coming directly at our fuselage and would pass to our left. In the next second it did indeed pass to my left at eye level and I visually tracked it as it passed over the top of our left wing. It was roughly 2-3 feet in diameter; symmetrical width and length (squarish or roundish in overall shape) and much shorter in height than it was in length or width. While the details of shape weren't supremely apparent ; it appeared to have structural elements consistent with drone construction symmetry.We landed without incident.  I also called the dispatcher and reported the event with some detail to them as well.,NA,NA,NA,Air carrier Captain reported an NMAC on final approach with a UAS. No evasive action was taken and the flight continued without further incident.
2213848,2025-02-01,1201-1800,SFO.Airport,CA,NA,NA,NA,2000,NA,VMC,NA,NA,NA,NA,NA,NA,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,NA,2,Part 121,NA,Passenger,NA,Final Approach,Visual Approach,Class B SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UAV: Unpiloted Aerial Vehicle,NA,1,NA,NA,NA,NA,NA,NA,Class B SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aircraft / UAS; Airport / Aerodrome / Heliport,NA,NA,NA,Aircraft X,NA,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 165.82; Flight Crew Type 1743.73,NA,NA,NA,NA,2213848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS),NA,NA,Person Flight Crew,In-flight,General None Reported / Taken,Human Factors,Human Factors,On the visual approach to RWY28L to SFO at XA59 local time; while scanning for traffic; I saw a red quad-copter drone off the right wing pass from 0130 to behind the aircraft in less than 2 seconds. It was mere yards from the right wing tip as we flew past it. I immediately called the traffic; but it had passed behind the wing before the FO (PF) could even turn to look. (It was too late to take evasive action.) We continued to an uneventful landing. After landing I debriefed Dispatch and authorities.,NA,NA,NA,Air carrier Captain reported an NMAC on final approach with a UAS. No evasive action was taken.
2214186,2025-02-01,1201-1800,ZZZ.Airport,US,NA,12,2000,NA,NA,VMC,10,NA,Daylight,CLR,NA,NA,Commercial Operator (UAS),Argosdyne Aquila-2,NA,2,Part 107,None,Test Flight / Demonstration,NA,Climb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authorized Third Party,TRUE,Other LAANC,NA,Small,Multi-Rotor,VLOS,TRUE,Waypoint Flying,Open Space / Field; Private Property; Moving Vehicles,NA,NA,Number of UAS 1,GPS Module (UAS),Argosdyne,X,Malfunctioning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor / Field Station (UAS),NA,Commercial Operator (UAS),Person Manipulating Controls (UAS); Remote PIC (UAS); Visual Observer (UAS),Flight Crew Remote Pilot (UAS),Flight Crew Last 90 Days (UAS) 15; Flight Crew Total 100; Flight Crew Total (UAS) 60; Flight Crew Type (UAS) 20,NA,Troubleshooting,NA,NA,2214186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aircraft Equipment Problem Less Severe; Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Inflight Event / Encounter Loss Of Aircraft Control,NA,NA,Person UAS Crew,In-flight,Flight Crew Exited Penetrated Airspace; Flight Crew Overcame Equipment Problem,Aircraft; Software and Automation,Ambiguous,Performing demo of two drones flying at around 200 ft; with proper authorization from ZZZ with LAANC. Performed a test 25 minutes before the incident and everything worked as normal with the automated flight plan mission.When performing the real demo; I walked to other side of parking lot in order to maintain VLOS during entire flight. I arm the drone and command to takeoff with the 900 MHz RC link. The drone then goes full throttle for around 30 seconds as I attempt to take control of the aircraft unsuccessfully. I was able to gain control once I cross the parking lot and could see what the telemetry was saying. The GPS vertical position glitched out and the automated mission; along with the Loiter mode(which is GPS based) thought the drone was falling; so it commanded the drone to throttle up to full throttle for around 30 seconds.  After 30 seconds of trying to control it in loiter mode; I flipped it into Altitude Hold mode; based on barometer; and then I could see the telemetry vertical speed stabilize. Now that I had control with Alt Hold mode; telemetry feed; and even a live video feed; I could navigate the drone back to being over our parking lot and eventually down to land. looking back at the video footage; the barometer said that it was able 1800 meters once stabilized; and then 1000 meters once landed. Given this; I'd say the drone reached 800 meters AGL.,NA,NA,NA,Part 107 UAS pilot reported a malfunction with the UAS that caused a rapid climb above 400 feet AGL. The pilot was able to regain control of the UAS and land safely.
